3_agency,n_cases,pct_operational,mean_TR,mean_IR,orientation,pct_vendor,pct_rights_safety,topic_breadth,mean_TR_x_IR
Board of Governors of the Federal Reserve System,50,0.62,1.12,2.84,-0.5251787278548843,0.0,0.0,5,3.1808
Commodity Futures Trading Commission,4,0.25,2.5,3.0,-2.379285737946182,0.0,0.25,2,7.5
Consumer Financial Protection Bureau,4,0.0,0.0,0.0,-2.379285737946182,0.0,0.0,2,0.0
Department of Agriculture,89,0.5393258426966292,1.2808988764044944,3.9887640449438204,0.6312166275230735,0.1348314606741573,0.0449438202247191,9,5.109203383411185
Department of Commerce,57,0.3508771929824561,2.543859649122807,3.1578947368421053,0.18737800491987722,0.21052631578947367,0.0,8,8.033240997229917
Department of Energy,79,0.4430379746835443,4.063291139240507,4.0,-0.29091214640156016,0.16455696202531644,0.0379746835443038,5,16.253164556962027
Department of Health and Human Services,271,0.5129151291512916,1.088560885608856,3.4059040590405902,0.561101403944561,0.35424354243542433,0.014760147601476014,6,3.707533938808022
Department of Homeland Security,183,0.3989071038251366,1.5027322404371584,2.300546448087432,0.7881298202108378,0.3825136612021858,0.18579234972677597,8,3.457105318164173
Department of Housing and Urban Development,6,0.8333333333333334,2.6666666666666665,4.5,-2.4194088529599522,0.8333333333333334,0.16666666666666666,1,12.0
Department of Labor,70,0.7428571428571429,0.6857142857142857,1.8714285714285714,-0.5682252211953182,0.04285714285714286,0.02857142857142857,4,1.283265306122449
Department of State,51,0.23529411764705882,0.11764705882352941,0.7647058823529411,-0.08465473490780284,0.0,0.0,7,0.08996539792387542
Department of Veterans Affairs,227,0.6475770925110133,1.3612334801762114,2.7841409691629955,0.6844903360343376,0.40969162995594716,0.6387665198237885,7,3.7898659007549145
Department of Veterans Affairs ,2,0.5,3.0,3.0,-2.860308745154921,0.5,0.0,1,9.0
Department of the Interior,180,0.55,1.538888888888889,5.938888888888889,-0.08126343160312427,0.03888888888888889,0.0,4,9.13929012345679
Department of the Treasury,54,0.5555555555555556,1.1666666666666667,2.9074074074074074,-1.131517017288151,0.5925925925925926,0.037037037037037035,2,3.3919753086419755
Election Assistance Commission,2,1.0,3.0,0.0,-2.6450989460025895,0.0,0.0,2,0.0
Environmental Protection Agency,17,0.29411764705882354,0.5882352941176471,1.4705882352941178,-1.0671096385831746,0.0,0.058823529411764705,5,0.8650519031141869
Equal Employment Opportunity Commission,8,1.0,0.0,0.0,-1.6430054862574128,0.0,0.0,4,0.0
Federal Deposit Insurance Corporation,55,0.14545454545454545,0.38181818181818183,0.6181818181818182,-1.1221409082419003,0.03636363636363636,0.01818181818181818,2,0.23603305785123968
Federal Energy Regulatory Commission,4,0.0,1.25,4.5,-2.379285737946182,0.0,0.0,2,5.625
Federal Housing Finance Agency,18,0.7222222222222222,0.1111111111111111,0.5,-1.8998144173639795,0.0,0.0,1,0.05555555555555555
Federal Trade Commission,6,0.8333333333333334,1.0,3.0,-2.2041990538076206,1.0,0.0,2,3.0
General Services Administration,24,0.25,6.666666666666667,5.375,-1.111379070144597,0.5833333333333334,0.041666666666666664,4,35.833333333333336
National Aeronautics and Space Administration,18,1.0,2.0,4.666666666666667,-0.6085556224499897,0.0,0.0,7,9.333333333333334
National Archives and Records Administration,9,0.0,2.6666666666666665,3.2222222222222223,-2.2338094885766067,0.0,0.0,1,8.592592592592592
National Science Foundation,16,0.3125,0.0,0.1875,-1.9576917859047243,0.0,0.0,1,0.0
National Transportation Safety Board,2,0.0,0.0,0.0,-2.860308745154921,0.0,0.0,1,0.0
Office of Personnel Management,2,0.0,4.5,2.5,-2.860308745154921,0.0,1.0,1,11.25
Pension Benefit Guaranty Corporation,2,0.5,6.0,3.5,-2.6450989460025895,0.0,0.0,2,21.0
Postal Regulatory Commission,1,1.0,1.0,2.0,-3.071296558073528,1.0,0.0,1,2.0
Presidio Trust,5,1.0,0.0,0.0,-2.499622696633015,0.0,0.0,1,0.0
Securities and Exchange Commission,28,0.6071428571428571,1.2857142857142858,3.7857142857142856,-1.2493570393636875,0.2857142857142857,0.0,3,4.86734693877551
Social Security Administration,23,0.9565217391304348,1.565217391304348,4.782608695652174,-1.347831001284538,0.5652173913043478,0.391304347826087,3,7.485822306238186
Tennessee Valley Authority,39,0.9230769230769231,4.666666666666667,4.948717948717949,-1.2972275923804615,0.02564102564102564,0.0,2,23.094017094017097
United States Agency for Global Media,8,0.0,0.0,0.0,-2.2886348837144075,0.0,0.0,1,0.0
United States Agency for International Development,137,0.5036496350364964,0.8394160583941606,2.4744525547445257,0.8536413837598696,0.6423357664233577,0.12408759124087591,9,2.0770952101870104
United States Commission on Civil Rights,2,1.0,3.5,0.0,-2.6450989460025895,0.0,0.0,2,0.0
United States Trade and Development Agency,4,1.0,2.0,3.0,-2.5944955370985134,1.0,0.0,1,6.0
